id,title,overview,genres,director,cast
950387,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","['Family', 'Comedy', 'Adventure', 'Fantasy']",Jared Hess,"['Jason Momoa', 'Jack Black', 'Sebastian Eugene Hansen', 'Emma Myers', 'Danielle Brooks']"
324544,In the Lost Lands,"A queen sends the powerful and feared sorceress Gray Alys to the ghostly wilderness of the Lost Lands in search of a magical power, where the sorceress and her guide, the drifter Boyce must outwit and outfight man and demon.","['Fantasy', 'Adventure', 'Action']",Paul W. S. Anderson,"['Milla Jovovich', 'Dave Bautista', 'Arly Jover', 'Amara Okereke', 'Fraser James']"
1045938,G20,"After the G20 Summit is overtaken by terrorists, President Danielle Sutton must bring all her statecraft and military experience to defend her family and her fellow leaders.","['Action', 'Mystery', 'Drama']",Patricia Riggen,"['Viola Davis', 'Anthony Anderson', 'Ramón Rodríguez', 'Marsai Martin', 'Antony Starr']"
1195506,Novocaine,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.","['Action', 'Comedy', 'Thriller']",Dan Berk,"['Jack Quaid', 'Amber Midthunder', 'Ray Nicholson', 'Jacob Batalon', 'Betty Gabriel']"
1293286,Gunslingers,"When the most wanted man in America surfaces in a small Kentucky town, his violent history -- and a blood-thirsty mob seeking vengeance and a king’s ransom -- soon follow. As brothers face off against one another and bullets tear the town to shreds, this lightning-fast gunslinger makes his enemies pay the ultimate price for their greed.","['Western', 'Action']",Brian Skiba,"['Stephen Dorff', 'Heather Graham', 'Nicolas Cage', 'Randall Batinkoff', 'Cooper Barnes']"
1195430,Deva,"Dev Ambre, a ruthless cop, loses his memory in an accident just after he has finished solving a murder case and now has to reinvestigate it while keeping his memory loss a secret from everyone except DCP Farhan Khan.","['Action', 'Thriller', 'Mystery', 'Crime']",Rosshan Andrrews,"['Shahid Kapoor', 'Pooja Hegde', 'Pavail Gulati', 'Pravessh Rana', 'Girish Kulkarni']"
1229730,Carjackers,"By day, they're invisible—valets, hostesses, and bartenders at a luxury hotel. By night, they're the Carjackers, a crew of skilled drivers who track and rob wealthy clients on the road. As they plan their ultimate heist, the hotel director hires a ruthless hitman, to stop them at all costs. With danger closing in, can Nora, Zoe, Steve, and Prestance pull off their biggest score yet?","['Action', 'Adventure']",Kamel Guemra,"['Zoé Marchal', 'Franck Gastambide', 'Bosh', 'Mareva Ranarivelo', 'Alassane Diong']"
1195585,The Hard Hit,"An Interpol agent hunting the head of a global crime syndicate tracks his target to Las Vegas, but when the criminal organization kills his wife and daughter, he goes above the law to get his revenge.","['Action', 'Thriller', 'Crime']",Darien Smith,"['Brian Ronan Mulroy', 'Jamie Ohlsen', 'Malachi Durant', 'Rob LaColla Jr.', 'Trae Ireland']"
822119,Captain America: Brave New World,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.","['Action', 'Thriller', 'Science Fiction']",Julius Onah,"['Anthony Mackie', 'Harrison Ford', 'Danny Ramirez', 'Shira Haas', 'Tim Blake Nelson']"
1125899,Cleaner,"When a group of radical activists take over an energy company's annual gala, seizing 300 hostages, an ex-soldier turned window cleaner suspended 50 storeys up on the outside of the building must save those trapped inside, including her younger brother.","['Action', 'Thriller']",Martin Campbell,"['Daisy Ridley', 'Clive Owen', 'Taz Skylar', 'Flavia Watson', 'Ray Fearon']"
